country-code,country-name,e-gov-rank,e-gov-index,e-pat-index,osi,hci,tii
IRQ,Iraq,137,0.34093,0.1053,0.28758,0.6150899999999999,0.12014000000000001
IRL,Ireland,34,0.71492,0.1316,0.53594,0.9535,0.65533
ISR,Israel,16,0.81001,0.8947,0.84967,0.89446,0.68591
ITA,Italy,32,0.71895,0.2632,0.57516,0.9120299999999999,0.66966
JAM,Jamaica,108,0.45516,0.0,0.30718,0.79155,0.26675
JPN,Japan,18,0.80187,0.7368,0.86274,0.89689,0.64599
JOR,Jordan,98,0.48838000000000004,0.1053,0.39215,0.80133,0.27165
KAZ,Kazakhstan,38,0.68438,0.9474,0.7843100000000001,0.9133700000000001,0.35546
KEN,Kenya,119,0.42117,0.0526,0.43137,0.7109300000000001,0.12122000000000001
KIR,Kiribati,149,0.29977,0.0263,0.06535,0.7871,0.04686
KWT,Kuwait,63,0.59602,0.1842,0.5816899999999999,0.78851,0.41786999999999996
KGZ,Kyrgyzstan,99,0.4879,0.2895,0.42483000000000004,0.84852,0.19034
LAO,Lao People's Democratic Republic,153,0.2935,0.0,0.21568,0.56505,0.09976
LVA,Latvia,42,0.6604,0.2105,0.58823,0.88787,0.5050899999999999
LBN,Lebanon,87,0.51388,0.3158,0.47712,0.7917,0.27281
LSO,Lesotho,136,0.35006,0.0263,0.30065,0.69965,0.0499
LBR,Liberia,169,0.24073000000000003,0.0263,0.18954000000000001,0.48494,0.04772
LBY,Libya,191,0.0,0.0,0.0,0.8501799999999999,0.37433
LIE,Liechtenstein,14,0.8264,0.2368,0.58823,0.89097,1.0
LTU,Lithuania,29,0.73329,0.5263,0.69934,0.92401,0.57652
LUX,Luxembourg,19,0.80135,0.3947,0.69934,0.84035,0.8643700000000001
MDG,Madagascar,148,0.30535,0.0263,0.32026,0.54381,0.051989999999999995
MWI,Malawi,159,0.27398,0.0,0.21568,0.57414,0.03211
MYS,Malaysia,40,0.6703100000000001,0.5,0.79084,0.7691100000000001,0.45098
MDV,Maldives,95,0.49936,0.0263,0.32679,0.81137,0.35993
MLI,Mali,183,0.18567,0.0,0.32026,0.17229,0.06447
MLT,Malta,35,0.7131,0.2632,0.61437,0.80572,0.7192
MHL,Marshall Islands,146,0.31288,0.0,0.13725,0.75895,0.042460000000000005
MRT,Mauritania,181,0.19956,0.0,0.07843,0.40793,0.11232
AFG,Afghanistan,184,0.17014,0.1316,0.23529,0.21781,0.05731
MUS,Mauritius,93,0.50658,0.0789,0.43137,0.75877,0.32959
MEX,Mexico,55,0.6239899999999999,0.5789,0.73202,0.8295399999999999,0.31042
FSM,Micronesia (Federated States of),127,0.38119000000000003,0.0263,0.20915,0.8331700000000001,0.10126
MCO,Monaco,26,0.74679,0.1842,0.35946999999999996,0.94386,0.9370299999999999
MNG,Mongolia,76,0.5443,0.6053,0.58823,0.86884,0.17583
MNE,Montenegro,57,0.6218100000000001,0.3158,0.5098,0.81818,0.53746
ALB,Albania,86,0.5160600000000001,0.1053,0.42483000000000004,0.78632,0.33702
DZA,Algeria,132,0.36077,0.0526,0.2549,0.6462600000000001,0.18116
AND,Andorra,58,0.6171800000000001,0.1579,0.31372,0.80632,0.7315
AGO,Angola,142,0.32028,0.0263,0.33333,0.53833,0.08918999999999999
ATG,Antigua and Barbuda,49,0.63447,0.1316,0.30718,0.87702,0.7192
ARG,Argentina,56,0.62279,0.2895,0.52941,0.90381,0.43517
ARM,Armenia,94,0.49967,0.0,0.32679,0.8505299999999999,0.32166999999999996
MAR,Morocco,120,0.4209,0.3947,0.5424800000000001,0.44303000000000003,0.2772
MOZ,Mozambique,158,0.27859,0.1316,0.36601,0.42549,0.04426
MMR,Myanmar,160,0.27033,0.0,0.10457000000000001,0.7064199999999999,0.0
NAM,Namibia,123,0.3937,0.0263,0.30065,0.74193,0.13851
NRU,Nauru,141,0.32422,0.0,0.09802999999999999,0.70467,0.16996
DMA,Dominica,73,0.55609,0.0263,0.29411,0.7520100000000001,0.6221399999999999
DOM,Dominican Republic,89,0.51298,0.4737,0.53594,0.7398,0.2632
ECU,Ecuador,102,0.48685,0.2368,0.45751000000000003,0.75488,0.24816
EGY,Egypt,107,0.46112,0.6842,0.6013,0.55884,0.2232
SLV,El Salvador,74,0.5512699999999999,0.5526,0.6732,0.71685,0.26376
GNQ,Equatorial Guinea,151,0.29548,0.0263,0.09802999999999999,0.70012,0.08829
ERI,Eritrea,180,0.20434000000000002,0.0263,0.20915,0.39066,0.0132
EST,Estonia,20,0.79873,0.7632,0.82352,0.9084700000000001,0.6642100000000001
NPL,Nepal,164,0.26644,0.0263,0.28758,0.45206,0.05969
NLD,Netherlands,2,0.9124899999999999,1.0,0.96078,0.9424899999999999,0.83421
NZL,New Zealand,13,0.83809,0.5789,0.7843100000000001,0.9981899999999999,0.7317600000000001
NIC,Nicaragua,130,0.36214,0.1316,0.31372,0.65328,0.11942
NER,Niger,188,0.11188,0.0,0.19607,0.11029000000000001,0.029269999999999997
NGA,Nigeria,162,0.26755999999999996,0.1842,0.22221999999999997,0.45352,0.12696
NOR,Norway,8,0.85931,0.6842,0.8562,0.93468,0.78704
OMN,Oman,64,0.59441,0.4474,0.66666,0.7224,0.39416999999999996
PAK,Pakistan,156,0.28234000000000004,0.1316,0.36601,0.35717,0.12385
PLW,Palau,113,0.43592,0.0263,0.183,0.84452,0.28023000000000003
PAN,Panama,66,0.57328,0.3158,0.46405,0.81505,0.44075
PNG,Papua New Guinea,177,0.21470999999999998,0.0,0.22875,0.37432,0.04106
PRY,Paraguay,104,0.48018999999999995,0.1579,0.45751000000000003,0.7862100000000001,0.19684000000000001
PER,Peru,82,0.5230199999999999,0.3947,0.5163300000000001,0.79419,0.25854
PHL,Philippines,88,0.51303,0.2105,0.49673,0.83414,0.20822
POL,Poland,47,0.6441399999999999,0.1842,0.53594,0.90435,0.49211000000000005
PRT,Portugal,33,0.7165,0.3684,0.65359,0.8931,0.6028100000000001
QAT,Qatar,48,0.64048,0.6316,0.73856,0.73158,0.4513
KOR,Republic of Korea,1,0.92832,1.0,1.0,0.94937,0.8355899999999999
MDA,Republic of Moldova,69,0.5626,0.3947,0.5163300000000001,0.81286,0.35861
ROU,Romania,62,0.60595,0.0789,0.5163300000000001,0.87829,0.42322
RUS,Russian Federation,27,0.73448,0.6579,0.66013,0.8849799999999999,0.6583399999999999
AUS,Australia,12,0.839,0.7632,0.86274,1.0,0.65427
AUT,Austria,21,0.78395,0.3684,0.7450899999999999,0.90907,0.6976899999999999
AZE,Azerbaijan,96,0.49838000000000005,0.1316,0.36601,0.82586,0.30327
BHS,Bahamas,65,0.57932,0.0789,0.47058,0.81195,0.45542
TCD,Chad,189,0.10916,0.0263,0.09802999999999999,0.20031,0.02913
CHL,Chile,39,0.67687,0.6579,0.75163,0.8788299999999999,0.40014
CHN,China,78,0.5359,0.2105,0.52941,0.77446,0.30385
BHR,Bahrain,36,0.6946100000000001,0.6579,0.86274,0.80281,0.41828999999999994
BGD,Bangladesh,150,0.29913,0.0789,0.44443999999999995,0.38885,0.06411
BRB,Barbados,44,0.65655,0.0263,0.37254,0.92317,0.67395
BLR,Belarus,61,0.609,0.0789,0.41176,0.9119799999999999,0.50325
BEL,Belgium,24,0.77181,0.1316,0.64705,0.9264100000000001,0.74198
BLZ,Belize,124,0.39232,0.1842,0.39869,0.61554,0.16274
BEN,Benin,179,0.20638,0.0789,0.19607,0.31132,0.11175
BTN,Bhutan,152,0.29418,0.0263,0.35294000000000003,0.41531999999999997,0.1143
BOL,Bolivia,106,0.46584,0.2105,0.41176,0.80715,0.17862
BIH,Bosnia and Herzegovina,79,0.53279,0.0,0.37254,0.83414,0.39168000000000003
BWA,Botswana,121,0.41863,0.0263,0.35946999999999996,0.70908,0.18733
DJI,Djibouti,176,0.22283000000000003,0.0,0.19607,0.42362,0.04881
BRA,Brazil,59,0.61673,0.5,0.6732,0.82025,0.35675999999999997
BRN,Brunei Darussalam,54,0.62502,0.4737,0.59477,0.82525,0.45503000000000005
BGR,Bulgaria,60,0.61315,0.0263,0.49018999999999996,0.84864,0.50062
BFA,Burkina Faso,185,0.15777,0.1579,0.29411,0.13377999999999998,0.04541
BDI,Burundi,173,0.22882,0.0,0.15032,0.5188,0.01734
KHM,Cambodia,155,0.29020999999999997,0.0,0.18954000000000001,0.59967,0.08141
CMR,Cameroon,147,0.30698000000000003,0.0263,0.30065,0.5554,0.06488
CAN,Canada,11,0.84299,0.6842,0.8888799999999999,0.9237799999999999,0.71631
CPV,Cabo Verde,118,0.42973999999999996,0.2368,0.4379,0.62452,0.22678
CAF,Central African Republic,191,0.0,0.0,0.0,0.34457,0.02973
COL,Colombia,43,0.65723,0.7368,0.8431299999999999,0.83911,0.28944000000000003
COM,Comoros,171,0.23576999999999998,0.0,0.07843,0.58529,0.04361
COG,Congo,157,0.28094,0.0,0.07843,0.63685,0.12753
CRI,Costa Rica,77,0.53971,0.3158,0.49673,0.80894,0.31345
CIV,Côte d'Ivoire,166,0.258,0.1316,0.33333,0.3388,0.10188
HRV,Croatia,30,0.7328399999999999,0.2895,0.64052,0.8615200000000001,0.6964899999999999
CUB,Cuba,110,0.44882,0.0526,0.30718,0.9683700000000001,0.07091
CYP,Cyprus,45,0.65081,0.0789,0.56209,0.8750899999999999,0.51526
CZE,Czech Republic,46,0.6491399999999999,0.2632,0.5424800000000001,0.88984,0.5151100000000001
PRK,Democratic People's Republic of Korea,131,0.36162,0.0,0.11764000000000001,0.95601,0.01122
COD,Democratic Republic of the Congo,174,0.22803,0.0263,0.17647000000000002,0.4893,0.01831
DNK,Denmark,4,0.88885,0.5526,0.8562,0.94888,0.86146
ETH,Ethiopia,172,0.23058,0.3421,0.47058,0.21185,0.0093
FJI,Fiji,105,0.46715,0.0789,0.35946999999999996,0.7985800000000001,0.2434
FIN,Finland,9,0.85052,0.7368,0.88235,0.9467,0.7225
GNB,Guinea-Bissau,182,0.19449,0.0526,0.10457000000000001,0.42781,0.051089999999999997
GUY,Guyana,109,0.45488999999999996,0.0,0.2549,0.8561700000000001,0.2536
ESP,Spain,23,0.77696,0.5,0.7581600000000001,0.94091,0.63179
SLE,Sierra Leone,186,0.15567999999999999,0.0526,0.16993,0.25764000000000004,0.03948
FRA,France,6,0.86349,0.5789,0.8758100000000001,0.92442,0.7902399999999999
GAB,Gabon,129,0.36874,0.1053,0.18954000000000001,0.75716,0.15952
GMB,Gambia,161,0.26884,0.0,0.32026,0.35189000000000004,0.13437000000000002
GEO,Georgia (Country),72,0.55628,0.2105,0.6013,0.83475,0.23279
DEU,Germany,17,0.80788,0.7632,0.75163,0.89705,0.7749699999999999
GHA,Ghana,145,0.3159,0.1053,0.30065,0.53601,0.11105
GRC,Greece,37,0.68716,0.3421,0.57516,0.93317,0.55314
