country-code,country-name,e-gov-rank,e-gov-index,e-pat-index,osi,hci,tii
IRQ,Iraq,141,0.33335,0.42373,0.35507,0.4803,0.16468
IRL,Ireland,26,0.76888,0.71186,0.72464,0.92185,0.66015
ISR,Israel,20,0.78056,0.8305100000000001,0.8623200000000001,0.8618899999999999,0.61748
ITA,Italy,22,0.77636,0.91525,0.8695700000000001,0.81261,0.64691
JAM,Jamaica,112,0.4534,0.27119,0.35507,0.68587,0.31926
JPN,Japan,11,0.8439700000000001,0.98305,0.8768100000000001,0.8273799999999999,0.8277100000000001
JOR,Jordan,91,0.51226,0.45763000000000004,0.45652,0.73442,0.34584000000000004
KAZ,Kazakhstan,33,0.7249899999999999,0.59322,0.76812,0.8401,0.56677
KEN,Kenya,119,0.41855,0.52542,0.55797,0.51688,0.18081
KIR,Kiribati,145,0.31219,0.25424,0.21014000000000002,0.65994,0.06649
KWT,Kuwait,40,0.70795,0.64407,0.65217,0.72873,0.74295
KGZ,Kyrgyzstan,97,0.49686,0.59322,0.42754,0.75079,0.31225
LAO,Lao People's Democratic Republic,148,0.309,0.27119,0.28261,0.49072,0.15366
LVA,Latvia,45,0.681,0.52542,0.6087,0.8512,0.58311
LBN,Lebanon,73,0.5646,0.49153,0.51449,0.68816,0.49113999999999997
LSO,Lesotho,154,0.27702,0.11864000000000001,0.13768,0.51469,0.17867
LBR,Liberia,170,0.23378000000000002,0.28814,0.23913,0.35813,0.10407999999999999
LBY,Libya,118,0.4322,0.10169,0.1087,0.75878,0.42912
LIE,Liechtenstein,32,0.73126,0.62712,0.66667,0.79783,0.72929
LTU,Lithuania,23,0.77467,0.8305100000000001,0.82609,0.87174,0.6261899999999999
LUX,Luxembourg,25,0.77046,0.69492,0.71739,0.7750199999999999,0.81898
MDG,Madagascar,163,0.24161,0.20339000000000002,0.22464,0.44875,0.05144
MWI,Malawi,166,0.23976999999999998,0.28814,0.21739,0.45347,0.04845
MYS,Malaysia,60,0.61749,0.67797,0.71739,0.69534,0.43975
MDV,Maldives,117,0.43299,0.22034,0.23188000000000003,0.63005,0.43703000000000003
MLI,Mali,182,0.18165,0.0678,0.0942,0.23583,0.21491999999999997
MLT,Malta,30,0.74242,0.77966,0.7971,0.73101,0.69916
MHL,Marshall Islands,156,0.26953,0.05085,0.02899,0.6947,0.08492000000000001
MRT,Mauritania,184,0.17344,0.05085,0.06522,0.30146,0.15365
AFG,Afghanistan,171,0.23131999999999997,0.42373,0.30435,0.28304,0.10658
MUS,Mauritius,58,0.6230600000000001,0.6610199999999999,0.7029,0.7067,0.45957
MEX,Mexico,59,0.61953,0.88136,0.84783,0.69934,0.31143000000000004
FSM,Micronesia (Federated States of),146,0.31031,0.22034,0.14493,0.66628,0.11971
MCO,Monaco,31,0.73152,0.28814,0.31884,0.8757299999999999,1.0
MNG,Mongolia,84,0.5194300000000001,0.71186,0.51449,0.75968,0.28411
MNE,Montenegro,47,0.6732600000000001,0.8305100000000001,0.68116,0.81647,0.52215
ALB,Albania,82,0.53305,0.64407,0.5942,0.65199,0.35296
DZA,Algeria,150,0.29991,0.11864000000000001,0.06522,0.6411600000000001,0.19336
AND,Andorra,55,0.63016,0.44068,0.50725,0.69776,0.6854600000000001
AGO,Angola,142,0.33114,0.44068,0.34783000000000003,0.50151,0.14409
ATG,Antigua and Barbuda,100,0.48922,0.16949,0.18116,0.74529,0.5412
ARG,Argentina,41,0.6978,0.62712,0.71014,0.88021,0.5030600000000001
ARM,Armenia,87,0.51785,0.52542,0.42754,0.73377,0.39225
MAR,Morocco,85,0.51858,0.8305100000000001,0.7391300000000001,0.47372,0.3429
MOZ,Mozambique,172,0.2305,0.20339000000000002,0.2029,0.3893,0.09929
MMR,Myanmar,169,0.23619,0.10169,0.15942,0.48365,0.06551
NAM,Namibia,125,0.36818,0.23729,0.28261,0.55506,0.26686
NRU,Nauru,152,0.28681999999999996,0.08475,0.0942,0.52144,0.2448
DMA,Dominica,109,0.45775,0.18644000000000002,0.30435,0.63842,0.43048000000000003
DOM,Dominican Republic,98,0.49136,0.49153,0.50725,0.66762,0.29922
ECU,Ecuador,74,0.5625399999999999,0.57627,0.63043,0.71341,0.34379
EGY,Egypt,108,0.45941000000000004,0.40678000000000003,0.47101000000000004,0.6047600000000001,0.30246
SLV,El Salvador,104,0.47184,0.5593199999999999,0.48551000000000005,0.60354,0.32646
GNQ,Equatorial Guinea,165,0.24026999999999998,0.08475,0.07971,0.5174,0.12370999999999999
ERI,Eritrea,190,0.09016,0.01695,0.02174,0.24874000000000002,0.0
EST,Estonia,13,0.83344,0.8135600000000001,0.8913,0.87608,0.73295
NPL,Nepal,135,0.34581,0.50847,0.39855,0.47142,0.16745
NLD,Netherlands,7,0.8658600000000001,0.94915,0.9275399999999999,0.9183,0.75173
NZL,New Zealand,8,0.8653,0.94915,0.9420299999999999,0.94024,0.7136399999999999
NIC,Nicaragua,123,0.38011,0.40678000000000003,0.38406,0.5454,0.21088
NER,Niger,192,0.059329999999999994,0.08475,0.07246,0.04979,0.05575
NGA,Nigeria,143,0.3291,0.35593,0.41303999999999996,0.37843000000000004,0.19582
NOR,Norway,18,0.8116800000000001,0.76271,0.80435,0.9030600000000001,0.72764
OMN,Oman,66,0.59616,0.5593199999999999,0.5942,0.67957,0.51471
PAK,Pakistan,159,0.25832,0.37288000000000004,0.32609,0.31898000000000004,0.12989
PLW,Palau,111,0.45458999999999994,0.0339,0.1087,0.88665,0.36841
PAN,Panama,99,0.49035,0.37288000000000004,0.33333,0.7174699999999999,0.42023
PNG,Papua New Guinea,179,0.1882,0.20339000000000002,0.16667,0.324,0.07393
PRY,Paraguay,95,0.4989,0.57627,0.60145,0.64086,0.25439
PER,Peru,81,0.53815,0.54237,0.63043,0.71508,0.26892
PHL,Philippines,71,0.57655,0.59322,0.66667,0.68389,0.37909
POL,Poland,36,0.72108,0.88136,0.7029,0.87465,0.58568
PRT,Portugal,38,0.71437,0.6610199999999999,0.74638,0.81294,0.5837899999999999
QAT,Qatar,48,0.66988,0.64407,0.67391,0.7316600000000001,0.6040800000000001
KOR,Republic of Korea,3,0.89149,0.9661,0.9420299999999999,0.8794700000000001,0.85296
MDA,Republic of Moldova,65,0.59945,0.6610199999999999,0.5942,0.71913,0.48501000000000005
ROU,Romania,75,0.56114,0.62712,0.45652,0.77361,0.45328999999999997
RUS,Russian Federation,35,0.72147,0.7457600000000001,0.73188,0.8234,0.6091300000000001
AUS,Australia,2,0.91428,0.98305,0.97826,1.0,0.76459
AUT,Austria,16,0.82081,0.88136,0.91304,0.83959,0.70981
AZE,Azerbaijan,56,0.62741,0.67797,0.68116,0.71583,0.48525
BHS,Bahamas,93,0.51084,0.33898,0.42754,0.72073,0.38425
TCD,Chad,188,0.12564,0.15254,0.13768,0.19168,0.04755
CHL,Chile,42,0.69492,0.7457600000000001,0.77536,0.81235,0.49705
CHN,China,63,0.6071300000000001,0.8135600000000001,0.76812,0.686,0.36727
BHR,Bahrain,24,0.77335,0.7457600000000001,0.82609,0.71777,0.7762
BGD,Bangladesh,124,0.37995,0.52542,0.6231899999999999,0.39731,0.11934000000000002
BRB,Barbados,54,0.631,0.42373,0.44203000000000003,0.81129,0.63967
BLR,Belarus,49,0.6624899999999999,0.5593199999999999,0.48551000000000005,0.87159,0.63037
BEL,Belgium,19,0.7874,0.64407,0.71014,0.97124,0.68083
BLZ,Belize,122,0.38253000000000004,0.25424,0.31884,0.64536,0.18339
BEN,Benin,177,0.20389000000000002,0.16949,0.14493,0.31964000000000004,0.14709
BTN,Bhutan,133,0.35065,0.35593,0.31884,0.5139100000000001,0.21919
BOL,Bolivia,101,0.48212,0.57627,0.49275,0.70038,0.25322
BIH,Bosnia and Herzegovina,92,0.51183,0.50847,0.44928,0.6815100000000001,0.40471
BWA,Botswana,113,0.45315,0.28814,0.28261,0.6553,0.42153
DJI,Djibouti,187,0.13367,0.0,0.02174,0.30946999999999997,0.06978999999999999
BRA,Brazil,51,0.63769,0.7288100000000001,0.73188,0.67867,0.5025
BRN,Brunei Darussalam,83,0.52981,0.37288000000000004,0.50725,0.73098,0.35119
BGR,Bulgaria,52,0.63764,0.69492,0.56522,0.78747,0.56023
BFA,Burkina Faso,185,0.15977,0.23729,0.18841,0.16773,0.12318
BDI,Burundi,173,0.22771,0.15254,0.15217,0.49788000000000004,0.03308
KHM,Cambodia,158,0.25927,0.0678,0.05072,0.47847,0.24861999999999998
CMR,Cameroon,155,0.27591,0.16949,0.21739,0.47938000000000003,0.13096
CAN,Canada,14,0.82847,0.91525,0.95652,0.8571700000000001,0.67173
CPV,Cabo Verde,103,0.47418000000000005,0.47458,0.45652,0.60313,0.36289
CAF,Central African Republic,191,0.07887999999999999,0.0,0.0,0.1985,0.038130000000000004
COL,Colombia,57,0.62371,0.76271,0.78986,0.70003,0.38126
COM,Comoros,176,0.21550999999999998,0.01695,0.05072,0.4885,0.10732
COG,Congo,162,0.24974000000000002,0.08475,0.04348,0.5344399999999999,0.17132
CRI,Costa Rica,53,0.63142,0.64407,0.63768,0.74364,0.51294
CIV,Côte d'Ivoire,175,0.21845,0.15254,0.18841,0.29589,0.17107
HRV,Croatia,37,0.71624,0.77966,0.74638,0.80498,0.59735
CUB,Cuba,131,0.35224,0.32203000000000004,0.19565,0.75074,0.11033
CYP,Cyprus,64,0.60226,0.52542,0.53623,0.7782,0.49233999999999994
CZE,Czech Republic,50,0.64537,0.5593199999999999,0.47826,0.86266,0.59518
PRK,Democratic People's Republic of Korea,153,0.28008,0.01695,0.02174,0.78223,0.03628
COD,Democratic Republic of the Congo,180,0.18761,0.08475,0.08696,0.39702,0.07884
DNK,Denmark,9,0.8510200000000001,0.8135600000000001,0.77536,0.9530299999999999,0.8246600000000001
ETH,Ethiopia,157,0.26655,0.49153,0.52899,0.22116999999999998,0.0495
FJI,Fiji,96,0.49886,0.28814,0.41303999999999996,0.7509100000000001,0.33261999999999997
