country-code,country-name,e-gov-rank,e-gov-index,e-pat-index,osi,hci,tii
IRQ,Iraq,136.0,0.29957,0.04285,0.15238,0.6955600000000001,0.055220000000000005
IRL,Ireland,21.0,0.68655,0.44285,0.49841,0.9931,0.57386
ISR,Israel,26.0,0.65517,0.41428000000000004,0.58412,0.95016,0.43337
ITA,Italy,38.0,0.57995,0.21428000000000003,0.28888,0.96836,0.49143000000000003
JAM,Jamaica,89.0,0.44666000000000006,0.08571000000000001,0.22857,0.83606,0.28195
JPN,Japan,17.0,0.71517,0.7571399999999999,0.67301,0.9496,0.52417
JOR,Jordan,51.0,0.52784,0.28570999999999996,0.53333,0.8694,0.18062999999999999
KAZ,Kazakhstan,46.0,0.55782,0.55714,0.52698,0.96773,0.17969000000000002
KEN,Kenya,124.0,0.33384,0.22857,0.23809,0.7026600000000001,0.06368
KIR,Kiribati,184.0,0.0,0.014280000000000001,0.028569999999999998,,0.014819999999999998
KWT,Kuwait,50.0,0.5290100000000001,0.22857,0.46031000000000005,0.8764,0.25239
KGZ,Kyrgyzstan,91.0,0.44168,0.42857,0.31745999999999996,0.9196,0.09175
LAO,Lao People's Democratic Republic,151.0,0.26371,0.12857000000000002,0.07936,0.6844600000000001,0.03291
LVA,Latvia,37.0,0.5826100000000001,0.27142,0.41586999999999996,0.9608,0.37621
LBN,Lebanon,93.0,0.43875,0.27142,0.26666,0.8583299999999999,0.19646
LSO,Lesotho,121.0,0.35123000000000004,0.08571000000000001,0.26349,0.7528600000000001,0.03999
LBR,Liberia,166.0,0.21333000000000002,0.028569999999999998,0.06348999999999999,0.56213,0.01892
LBY,Libya,114.0,0.37985,0.17142000000000002,0.1365,0.89786,0.11255
LIE,Liechtenstein,23.0,0.6694,0.12857000000000002,0.5238,0.94763,0.54118
LTU,Lithuania,28.0,0.62952,0.52857,0.48253,0.96916,0.44132
LUX,Luxembourg,25.0,0.6672100000000001,0.17142000000000002,0.38095,0.9156,0.71375
MDG,Madagascar,139.0,0.28904,0.057139999999999996,0.16507,0.67573,0.030080000000000003
MWI,Malawi,159.0,0.23568000000000003,0.0,0.01587,0.6797300000000001,0.01811
MYS,Malaysia,32.0,0.61014,0.65714,0.63174,0.85426,0.34375
MDV,Maldives,92.0,0.43917,0.07142000000000001,0.1619,0.8754299999999999,0.28859
MLI,Mali,176.0,0.18147,0.11427999999999999,0.18412,0.33113000000000004,0.02907
MLT,Malta,30.0,0.61293,0.34285,0.46984,0.8870299999999999,0.48627
MHL,Marshall Islands,184.0,0.0,0.028569999999999998,0.02539,,0.04174
MRT,Mauritania,157.0,0.2359,0.11427999999999999,0.08888,0.54346,0.07981
AFG,Afghanistan,168.0,0.20976,0.057139999999999996,0.23174,0.3641,0.032780000000000004
MUS,Mauritius,77.0,0.46453999999999995,0.057139999999999996,0.29523,0.83883,0.26469000000000004
MEX,Mexico,56.0,0.515,0.37142,0.44126000000000004,0.8898299999999999,0.21614
FSM,Micronesia (Federated States of),184.0,0.0,0.014280000000000001,0.12697999999999998,,0.08111
MCO,Monaco,184.0,0.0,0.028569999999999998,0.1365,,0.69614
MNG,Mongolia,53.0,0.52427,0.42857,0.55555,0.9127,0.10363
MNE,Montenegro,60.0,0.5101399999999999,0.15714,0.31428,0.891,0.33108000000000004
ALB,Albania,85.0,0.45192,0.12857000000000002,0.31111,0.886,0.16293
DZA,Algeria,131.0,0.3181,0.014280000000000001,0.09841,0.73773,0.12480999999999999
AND,Andorra,57.0,0.51478,0.14285,0.23174,0.8797299999999999,0.44145
AGO,Angola,132.0,0.31098000000000003,0.07142000000000001,0.33968000000000004,0.54733,0.04507
ATG,Antigua and Barbuda,55.0,0.51536,0.15714,0.12063,0.91333,0.52409
ARG,Argentina,48.0,0.54668,0.2,0.41268999999999995,0.95026,0.28115999999999997
ARM,Armenia,110.0,0.40247,0.04285,0.1746,0.9117299999999999,0.128
MAR,Morocco,126.0,0.32871999999999996,0.12857000000000002,0.23809,0.57393,0.17687999999999998
MOZ,Mozambique,161.0,0.22884000000000002,0.11427999999999999,0.17142000000000002,0.49183000000000004,0.02501
MMR,Myanmar,141.0,0.28176999999999996,0.0,0.08252999999999999,0.7643300000000001,0.00449
NAM,Namibia,125.0,0.33135,0.014280000000000001,0.06666,0.8135,0.12190999999999999
NRU,Nauru,184.0,0.0,0.014280000000000001,0.01269,,
DMA,Dominica,105.0,0.41491000000000006,0.028569999999999998,0.050789999999999995,0.8484,0.35659
DOM,Dominican Republic,84.0,0.45573,0.18571,0.36507,0.8391,0.16577999999999998
ECU,Ecuador,95.0,0.43218999999999996,0.15714,0.31745999999999996,0.82306,0.15954000000000002
EGY,Egypt,86.0,0.4518,0.28570999999999996,0.53015,0.69733,0.12555
SLV,El Salvador,73.0,0.46995,0.07142000000000001,0.42539,0.7935,0.1923
GNQ,Equatorial Guinea,138.0,0.29024,0.08571000000000001,0.03174,0.7868,0.06001
ERI,Eritrea,175.0,0.18587,0.028569999999999998,0.02222,0.5290600000000001,0.0113
EST,Estonia,20.0,0.69653,0.68571,0.50158,0.9666299999999999,0.62729
NPL,Nepal,153.0,0.25677,0.057139999999999996,0.16825,0.58206,0.022680000000000002
NLD,Netherlands,5.0,0.8096800000000001,0.6,0.6793600000000001,0.98703,0.7666
NZL,New Zealand,14.0,0.73112,0.77142,0.6380899999999999,0.9933299999999999,0.5647800000000001
NIC,Nicaragua,118.0,0.36298,0.3,0.25395999999999996,0.76256,0.07571
NER,Niger,183.0,0.10980999999999999,0.1,0.03809,0.28186,0.01165
NGA,Nigeria,150.0,0.26868000000000003,0.014280000000000001,0.09523,0.6567,0.059370000000000006
NOR,Norway,6.0,0.80199,0.5,0.7365,0.9884299999999999,0.68303
OMN,Oman,82.0,0.45757,0.15714,0.36825,0.798,0.20917
PAK,Pakistan,146.0,0.27547,0.17142000000000002,0.24761,0.50256,0.07708999999999999
PLW,Palau,103.0,0.41885,0.014280000000000001,0.05396,0.95906,0.2546
PAN,Panama,79.0,0.46191000000000004,0.0,0.28253,0.8884299999999999,0.22019
PNG,Papua New Guinea,171.0,0.20429,0.014280000000000001,0.07301,0.521,0.02283
PRY,Paraguay,101.0,0.42433999999999994,0.014280000000000001,0.26349,0.8711,0.1433
PER,Peru,63.0,0.49233999999999994,0.17142000000000002,0.40952,0.8911,0.1789
PHL,Philippines,78.0,0.46373000000000003,0.18571,0.39365,0.88813,0.11152999999999999
POL,Poland,45.0,0.5582199999999999,0.24285,0.3873,0.95516,0.33737
PRT,Portugal,39.0,0.5786899999999999,0.27142,0.3873,0.93566,0.4189
QAT,Qatar,62.0,0.49278,0.12857000000000002,0.27936,0.8886,0.31684
KOR,Republic of Korea,1.0,0.87854,1.0,1.0,0.99293,0.63902
MDA,Republic of Moldova,80.0,0.46113999999999994,0.2,0.29523,0.8999,0.19332
ROU,Romania,47.0,0.54791,0.18571,0.41586999999999996,0.9226,0.30927
RUS,Russian Federation,59.0,0.51359,0.12857000000000002,0.33015,0.93966,0.27651
AUS,Australia,8.0,0.78627,0.91428,0.76507,0.9933299999999999,0.60105
AUT,Austria,24.0,0.66793,0.5,0.47618999999999995,0.9598,0.57362
AZE,Azerbaijan,83.0,0.45706,0.17142000000000002,0.3238,0.9185,0.13292
BHS,Bahamas,65.0,0.48706000000000005,0.07142000000000001,0.23174,0.8869600000000001,0.35020999999999997
TCD,Chad,182.0,0.12345999999999999,0.057139999999999996,0.01904,0.3363,0.01822
CHL,Chile,34.0,0.60137,0.34285,0.60952,0.9232600000000001,0.27109
CHN,China,72.0,0.46998,0.37142,0.36825,0.8535299999999999,0.19125
BHR,Bahrain,13.0,0.73625,0.67142,0.73015,0.89326,0.5855100000000001
BGD,Bangladesh,134.0,0.30278,0.1,0.35555,0.5182,0.033
BRB,Barbados,40.0,0.57144,0.1,0.2,0.9743,0.5513
BLR,Belarus,64.0,0.48996000000000006,0.24285,0.30158,0.96593,0.20806999999999998
BEL,Belgium,16.0,0.72246,0.5857100000000001,0.62539,0.9751299999999999,0.56979
BLZ,Belize,120.0,0.35126999999999997,0.1,0.15872999999999998,0.7609,0.14002
BEN,Benin,173.0,0.20171,0.07142000000000001,0.11746,0.44476000000000004,0.04545
BTN,Bhutan,152.0,0.25983,0.07142000000000001,0.1873,0.53246,0.06192999999999999
BOL,Bolivia,98.0,0.42796999999999996,0.2,0.30476,0.8914,0.09147999999999999
BIH,Bosnia and Herzegovina,74.0,0.46978000000000003,0.04285,0.27619,0.88856,0.25046999999999997
BWA,Botswana,117.0,0.36373,0.1,0.2,0.78806,0.10809
DJI,Djibouti,170.0,0.20586,0.028569999999999998,0.04761,0.5599,0.01485
BRA,Brazil,61.0,0.50058,0.28570999999999996,0.36825,0.8837,0.2538
BRN,Brunei Darussalam,68.0,0.47955,0.17142000000000002,0.28253,0.89176,0.27032
BGR,Bulgaria,44.0,0.55902,0.3,0.40952,0.9350299999999999,0.33704
BFA,Burkina Faso,178.0,0.15871,0.057139999999999996,0.15555,0.30056,0.02012
BDI,Burundi,174.0,0.20138,0.014280000000000001,0.041260000000000005,0.5587,0.009040000000000001
KHM,Cambodia,140.0,0.28784,0.11427999999999999,0.1365,0.7019,0.0297
CMR,Cameroon,149.0,0.27223,0.15714,0.15238,0.6268600000000001,0.0411
CAN,Canada,3.0,0.8447899999999999,0.7285699999999999,0.8825299999999999,0.9708,0.6799
CPV,Cabo Verde,108.0,0.40537,0.17142000000000002,0.26984,0.7858,0.16458
CAF,Central African Republic,181.0,0.13989000000000001,0.0,0.0,0.4194,0.004520000000000001
COL,Colombia,31.0,0.6125,0.44285,0.71111,0.8813,0.2421
COM,Comoros,160.0,0.23268000000000003,0.057139999999999996,0.028569999999999998,0.6553,0.02036
COG,Congo,135.0,0.30194,0.15714,0.07936,0.7742,0.05902
CRI,Costa Rica,71.0,0.47486000000000006,0.2,0.30476,0.8826,0.24236999999999997
CIV,Côte d'Ivoire,144.0,0.28045,0.17142000000000002,0.3238,0.454,0.06224
HRV,Croatia,35.0,0.5858,0.45714,0.42222,0.9181299999999999,0.422
CUB,Cuba,96.0,0.43213999999999997,0.11427999999999999,0.24126,0.99866,0.062279999999999995
CYP,Cyprus,42.0,0.57053,0.48571000000000003,0.37142,0.91353,0.43266000000000004
CZE,Czech Republic,33.0,0.60602,0.12857000000000002,0.45396000000000003,0.9429,0.4258
PRK,Democratic People's Republic of Korea,184.0,0.0,0.0,0.01904,,
COD,Democratic Republic of the Congo,158.0,0.2357,0.014280000000000001,0.08888,0.6086600000000001,0.01399
DNK,Denmark,7.0,0.78722,0.64285,0.67301,0.9933299999999999,0.6987899999999999
ETH,Ethiopia,172.0,0.20331,0.04285,0.2,0.40273000000000003,0.00731
FJI,Fiji,113.0,0.39253000000000005,0.028569999999999998,0.18412,0.86016,0.13960999999999998
FIN,Finland,19.0,0.6967,0.41428000000000004,0.47936000000000006,0.9933299999999999,0.6239899999999999
