country-code,country-name,e-gov-rank,e-gov-index,e-pat-index,osi,hci,tii
IRQ,Iraq,155,0.3376,0.3371,0.3194,0.5094,0.184
IRL,Ireland,22,0.8287,0.9326,0.8264,0.9626,0.697
ISR,Israel,31,0.7998,0.8315,0.8264,0.8635,0.7095
ITA,Italy,24,0.8209,0.9551,0.9514,0.8341,0.6771
JAM,Jamaica,118,0.4697,0.3146,0.3194,0.6957,0.3941
JPN,Japan,10,0.8783,0.9831,0.9514,0.8428,0.8406
JOR,Jordan,98,0.5575,0.4831,0.4931,0.7387,0.4406
KAZ,Kazakhstan,39,0.7597,0.8371,0.8681,0.8388,0.5723
KEN,Kenya,122,0.4541,0.5337,0.625,0.5472,0.1901
KIR,Kiribati,153,0.345,0.2528,0.2986,0.6591,0.0773
KWT,Kuwait,41,0.7388,0.691,0.7917,0.6852,0.7394
KGZ,Kyrgyzstan,91,0.5835,0.6854,0.6458,0.7628,0.3418
LAO,Lao People's Democratic Republic,162,0.3056,0.1742,0.1667,0.5254,0.2246
LVA,Latvia,57,0.6996,0.6854,0.6667,0.8132,0.6188
LBN,Lebanon,99,0.553,0.4438,0.4722,0.6649,0.5219
LSO,Lesotho,167,0.2968,0.0787,0.1111,0.5324,0.2468
LBR,Liberia,173,0.2737,0.427,0.3403,0.3772,0.1036
LBY,Libya,140,0.3833,0.1236,0.0972,0.7173,0.3353
LIE,Liechtenstein,25,0.8204,0.7472,0.7986,0.8237,0.8389
LTU,Lithuania,40,0.7534,0.8034,0.7986,0.8323,0.6293
LUX,Luxembourg,18,0.8334,0.9382,0.9236,0.7803,0.7964
MDG,Madagascar,170,0.2792,0.3258,0.3056,0.4822,0.0499
MWI,Malawi,175,0.2708,0.2022,0.2569,0.472,0.0834
MYS,Malaysia,48,0.7174,0.8876,0.8889,0.6987,0.5647
MDV,Maldives,97,0.5615,0.4101,0.4931,0.6754,0.5159
MLI,Mali,178,0.2424,0.2416,0.2639,0.2558,0.2074
MLT,Malta,30,0.8011,0.8483,0.8403,0.7973,0.7657
MHL,Marshall Islands,149,0.3543,0.1742,0.2292,0.7301,0.1037
MRT,Mauritania,183,0.2314,0.1798,0.1597,0.3467,0.1878
AFG,Afghanistan,177,0.2585,0.3202,0.3056,0.3562,0.1138
MUS,Mauritius,66,0.6678,0.691,0.7292,0.7308,0.5435
MEX,Mexico,64,0.6818,0.9438,0.9236,0.7044,0.4173
FSM,Micronesia (Federated States of),161,0.3155,0.1404,0.1458,0.6889,0.1118
MCO,Monaco,28,0.805,0.5618,0.625,0.7901,1.0
MNG,Mongolia,92,0.5824,0.736,0.5972,0.7899,0.3602
MNE,Montenegro,58,0.6966,0.7416,0.6667,0.8172,0.6059
ALB,Albania,74,0.6519,0.7584,0.7361,0.7877,0.4318
DZA,Algeria,130,0.4227,0.2022,0.2153,0.664,0.3889
AND,Andorra,62,0.6857,0.5674,0.6042,0.7309,0.722
AGO,Angola,155,0.3376,0.4326,0.4097,0.506,0.0972
ATG,Antigua and Barbuda,90,0.5906,0.4607,0.4583,0.7518,0.5617
ARG,Argentina,43,0.7335,0.6236,0.75,0.8579,0.5927
ARM,Armenia,87,0.5944,0.5674,0.5625,0.7547,0.466
MAR,Morocco,110,0.5214,0.7753,0.6667,0.5278,0.3697
MOZ,Mozambique,160,0.3195,0.4438,0.4236,0.3951,0.1398
MMR,Myanmar,157,0.3328,0.1348,0.2292,0.5127,0.2565
NAM,Namibia,121,0.4554,0.3933,0.4514,0.585,0.3299
NRU,Nauru,158,0.3324,0.1461,0.1319,0.5619,0.3033
DMA,Dominica,93,0.5794,0.5562,0.6111,0.6497,0.4775
DOM,Dominican Republic,95,0.5726,0.6798,0.6597,0.6927,0.3655
ECU,Ecuador,84,0.6129,0.6742,0.7292,0.7395,0.3699
EGY,Egypt,114,0.488,0.5393,0.5347,0.6072,0.3222
SLV,El Salvador,100,0.5469,0.6517,0.625,0.6348,0.381
GNQ,Equatorial Guinea,184,0.2298,0.0506,0.0486,0.5397,0.101
ERI,Eritrea,189,0.1337,0.0337,0.0833,0.3179,0.0
EST,Estonia,16,0.8486,0.9101,0.9028,0.8818,0.7613
NPL,Nepal,117,0.4748,0.7809,0.6875,0.4957,0.2413
NLD,Netherlands,13,0.8757,0.9888,0.9306,0.9206,0.7758
NZL,New Zealand,8,0.8806,0.9831,0.9514,0.945,0.7455
NIC,Nicaragua,129,0.4233,0.3876,0.4028,0.5847,0.2825
NER,Niger,192,0.1095,0.2135,0.1597,0.0894,0.0795
NGA,Nigeria,143,0.3807,0.4831,0.5278,0.4261,0.1883
NOR,Norway,14,0.8557,0.9775,0.9514,0.9025,0.7131
OMN,Oman,63,0.6846,0.8315,0.8125,0.7013,0.5399
PAK,Pakistan,148,0.3566,0.5,0.5486,0.3682,0.1529
PLW,Palau,111,0.5024,0.2528,0.3264,0.8462,0.3346
PAN,Panama,85,0.6092,0.7191,0.6597,0.7137,0.4543
PNG,Papua New Guinea,171,0.2787,0.2022,0.2708,0.4778,0.0875
PRY,Paraguay,108,0.5255,0.573,0.5556,0.6701,0.3507
PER,Peru,77,0.6461,0.8652,0.8194,0.7276,0.3913
PHL,Philippines,75,0.6512,0.9382,0.8819,0.7171,0.3547
POL,Poland,33,0.7926,0.8933,0.9306,0.8668,0.5805
PRT,Portugal,29,0.8031,0.8989,0.9306,0.817,0.6617
QAT,Qatar,51,0.7132,0.7135,0.7917,0.6683,0.6797
KOR,Republic of Korea,3,0.901,1.0,0.9792,0.8743,0.8496
MDA,Republic of Moldova,69,0.659,0.8596,0.7708,0.7274,0.4787
ROU,Romania,67,0.6671,0.7079,0.6597,0.7944,0.5471
RUS,Russian Federation,32,0.7969,0.9213,0.9167,0.8522,0.6219
AUS,Australia,2,0.9053,0.9831,0.9722,1.0,0.7436
AUT,Austria,20,0.8301,0.8258,0.8681,0.8505,0.7716
AZE,Azerbaijan,70,0.6574,0.6798,0.7292,0.7369,0.5062
BHS,Bahamas,72,0.6552,0.618,0.7014,0.7249,0.5393
TCD,Chad,190,0.1257,0.1461,0.1458,0.1644,0.0669
CHL,Chile,42,0.735,0.8202,0.8333,0.8339,0.5377
CHN,China,65,0.6811,0.9045,0.8611,0.7088,0.4735
BHR,Bahrain,26,0.8116,0.7978,0.7986,0.7897,0.8466
BGD,Bangladesh,115,0.4862,0.8034,0.7847,0.4763,0.1976
BRB,Barbados,46,0.7229,0.6236,0.6667,0.8301,0.6719
BLR,Belarus,38,0.7641,0.882,0.7361,0.8681,0.6881
BEL,Belgium,27,0.808,0.7584,0.7569,0.974,0.693
BLZ,Belize,132,0.4115,0.2921,0.3333,0.6765,0.2247
BEN,Benin,159,0.3264,0.3708,0.4722,0.3653,0.1418
BTN,Bhutan,126,0.4274,0.5281,0.5,0.4743,0.308
BOL,Bolivia,103,0.5307,0.5787,0.5625,0.7148,0.3148
BIH,Bosnia and Herzegovina,105,0.5303,0.4326,0.4306,0.7217,0.4385
BWA,Botswana,127,0.4253,0.1966,0.2083,0.6694,0.3982
DJI,Djibouti,179,0.2401,0.2697,0.2917,0.3325,0.0961
BRA,Brazil,44,0.7327,0.9719,0.9236,0.7525,0.522
BRN,Brunei Darussalam,59,0.6923,0.6067,0.7222,0.748,0.6066
BGR,Bulgaria,47,0.7177,0.8708,0.7639,0.8106,0.5785
BFA,Burkina Faso,165,0.3016,0.6236,0.5347,0.2097,0.1603
BDI,Burundi,166,0.2985,0.309,0.3056,0.5113,0.0786
KHM,Cambodia,145,0.3753,0.1742,0.25,0.5626,0.3132
CMR,Cameroon,136,0.3997,0.3258,0.4583,0.5618,0.179
CAN,Canada,23,0.8258,0.9101,0.9306,0.8744,0.6724
CPV,Cabo Verde,112,0.498,0.427,0.4861,0.6152,0.3926
CAF,Central African Republic,188,0.1584,0.2753,0.2083,0.2347,0.0322
COL,Colombia,61,0.6871,0.9213,0.8819,0.7382,0.4412
COM,Comoros,182,0.2336,0.0562,0.0972,0.5166,0.0871
COG,Congo,164,0.3024,0.1854,0.1667,0.5515,0.1889
CRI,Costa Rica,56,0.7004,0.7697,0.6736,0.7933,0.6343
CIV,Côte d'Ivoire,172,0.2776,0.1742,0.2222,0.3357,0.2748
HRV,Croatia,55,0.7018,0.7697,0.6806,0.8196,0.6051
CUB,Cuba,134,0.4101,0.2809,0.2986,0.7862,0.1455
CYP,Cyprus,36,0.7736,0.8202,0.7847,0.8083,0.7279
CZE,Czech Republic,54,0.7084,0.618,0.6528,0.8752,0.5971
PRK,Democratic People's Republic of Korea,185,0.2159,0.0,0.0,0.615,0.0327
COD,Democratic Republic of the Congo,176,0.2612,0.1236,0.2083,0.5108,0.0645
DNK,Denmark,1,0.915,1.0,1.0,0.9472,0.7978
ETH,Ethiopia,151,0.3463,0.573,0.6319,0.3094,0.0976
FJI,Fiji,102,0.5348,0.3483,0.4583,0.7899,0.3562
FIN,Finland,6,0.8815,1.0,0.9653,0.9509,0.7284
GNB,Guinea-Bissau,187,0.1887,0.1124,0.0764,0.3869,0.1028
GUY,Guyana,124,0.4316,0.3371,0.4306,0.6102,0.2541
ESP,Spain,17,0.8415,0.9831,0.9375,0.8885,0.6986
SLE,Sierra Leone,174,0.2717,0.4101,0.3472,0.3081,0.1597
FRA,France,9,0.879,0.9663,0.9792,0.8598,0.7979
GAB,Gabon,125,0.4313,0.1685,0.2292,0.6398,0.425
GMB,Gambia,168,0.2958,0.2865,0.2708,0.3539,0.2627
GEO,Georgia (Country),60,0.6893,0.6236,0.6944,0.8333,0.5403
DEU,Germany,12,0.8765,0.9213,0.9306,0.9036,0.7952
GHA,Ghana,101,0.539,0.6292,0.6944,0.5669,0.3558
GRC,Greece,35,0.7833,0.8764,0.8194,0.8867,0.6439
GRD,Grenada,89,0.593,0.4888,0.4931,0.8202,0.4658
GTM,Guatemala,113,0.4974,0.618,0.6458,0.5524,0.2941
GIN,Guinea,181,0.2348,0.3539,0.3125,0.2406,0.1513
HTI,Haiti,163,0.3047,0.4831,0.4444,0.362,0.1078
HND,Honduras,123,0.4474,0.5449,0.5139,0.6015,0.2268
HUN,Hungary,45,0.7265,0.7079,0.7361,0.8364,0.6071
ISL,Iceland,19,0.8316,0.6854,0.7292,0.9365,0.8292
IND,India,96,0.5669,0.9551,0.9514,0.5484,0.2009
IDN,Indonesia,107,0.5258,0.618,0.5694,0.6857,0.3222
IRN,Iran (Islamic Republic of),86,0.6083,0.5281,0.6319,0.7364,0.4566
SVN,Slovenia,37,0.7714,0.8146,0.7986,0.8923,0.6232
SLB,Solomon Islands,169,0.2816,0.2135,0.2431,0.4732,0.1285
SOM,Somalia,193,0.0566,0.1348,0.1111,0.0,0.0586
ZAF,South Africa,68,0.6618,0.8483,0.8333,0.7291,0.4231
