country-code,country-name,e-gov-rank,e-gov-index,e-pat-index,osi,hci,tii
LKA,Sri Lanka,94,0.5751,0.6292,0.6667,0.7451,0.3136
SDN,Sudan,180,0.2394,0.1404,0.1528,0.3873,0.178
SUR,Suriname,116,0.4773,0.2416,0.2917,0.6808,0.4595
SWZ,Eswatini,141,0.382,0.3315,0.375,0.5939,0.1772
UZB,Uzbekistan,81,0.6207,0.7584,0.7917,0.7396,0.3307
VUT,Vanuatu,137,0.399,0.4382,0.4375,0.5675,0.192
VEN,Venezuela,106,0.5287,0.4045,0.4097,0.7615,0.4148
VNM,Viet Nam,88,0.5931,0.691,0.7361,0.6543,0.389
SWE,Sweden,5,0.8882,0.9382,0.9444,0.9366,0.7835
CHE,Switzerland,15,0.852,0.8427,0.8472,0.866,0.8428
SYR,Syrian Arab Republic,152,0.3459,0.3652,0.2986,0.486,0.2532
TJK,Tajikistan,131,0.422,0.3876,0.3403,0.7002,0.2254
THA,Thailand,73,0.6543,0.6517,0.6389,0.7903,0.5338
MKD,The former Yugoslav Republic of Macedonia,79,0.6312,0.7022,0.7153,0.6924,0.4859
TLS,Timor-Leste,142,0.3816,0.2697,0.3125,0.5387,0.2937
TGO,Togo,138,0.3989,0.5449,0.5556,0.5058,0.1353
TON,Tonga,109,0.5237,0.4663,0.4722,0.8039,0.2951
TTO,Trinidad and Tobago,78,0.644,0.5787,0.6389,0.7195,0.5735
TUN,Tunisia,80,0.6254,0.7978,0.8056,0.664,0.4066
TUR,Turkey,53,0.7112,0.8596,0.8889,0.8148,0.4298
TKM,Turkmenistan,147,0.3652,0.1124,0.1319,0.6626,0.3011
TUV,Tuvalu,144,0.3779,0.2191,0.2222,0.6422,0.2693
UGA,Uganda,135,0.4055,0.6236,0.5694,0.4906,0.1566
UKR,Ukraine,82,0.6165,0.6854,0.5694,0.8436,0.4364
ARE,United Arab Emirates,21,0.8295,0.9438,0.9444,0.6877,0.8564
GBR,United Kingdom of Great Britain and Northern Ireland,4,0.8999,0.9831,0.9792,0.92,0.8004
TZA,United Republic of Tanzania,139,0.3929,0.618,0.5625,0.4759,0.1403
USA,United States of America,11,0.8769,0.9831,0.9861,0.8883,0.7564
URY,Uruguay,34,0.7858,0.9157,0.8889,0.7719,0.6967
YEM,Yemen,186,0.2154,0.118,0.0972,0.4037,0.1454
ZMB,Zambia,133,0.4111,0.3989,0.4792,0.5689,0.1853
ZWE,Zimbabwe,146,0.3692,0.2753,0.3264,0.5668,0.2144
SSD,South Sudan,191,0.1214,0.0899,0.1111,0.2269,0.0262
RWA,Rwanda,120,0.459,0.7584,0.7222,0.4815,0.1733
KNA,Saint Kitts and Nevis,71,0.6554,0.5843,0.5347,0.7491,0.6825
LCA,Saint Lucia,119,0.466,0.2191,0.2847,0.7022,0.411
VCT,Saint Vincent and the Grenadines,104,0.5306,0.5169,0.4514,0.682,0.4583
WSM,Samoa,128,0.4236,0.264,0.3403,0.7241,0.2064
SMR,San Marino,76,0.6471,0.2584,0.4236,0.8102,0.7075
STP,Sao Tome and Principe,154,0.3424,0.1573,0.1389,0.583,0.3053
SAU,Saudi Arabia,52,0.7119,0.7135,0.7917,0.8101,0.5339
SEN,Senegal,150,0.3486,0.5056,0.4792,0.3427,0.224
SRB,Serbia,49,0.7155,0.8146,0.7361,0.7896,0.6208
SYC,Seychelles,83,0.6163,0.6461,0.6181,0.7299,0.5008
SGP,Singapore,7,0.8812,0.9663,0.9861,0.8557,0.8019
SVK,Slovakia,49,0.7155,0.809,0.7361,0.8141,0.5964
